prompt,completion
ni li pona tawa mi: mi kute sin e kalama sina.,It's good to hear your voice again.
The ATM swallowed my card.,ilo mani li weka e lipu mani mi.
o kama jo e soweli tomo sina!,Here is your dog.
jan Ton li wile tawa seme?,Where did Tom want to go?
He is but a child.,ona li jan lili taso.
mi wile mute ala pali e ni.,I'd be hesitant to do that.
Are you sure you want to do it?,sina sona wawa e ni anu seme: sina wile pali e ni?
jan Ton li tawa weka. ni li pona.,It's good that Tom left.
"Mary is a strong, independent woman.",jan Mewi li meli wawa li wile ala e jan ante.
That's really stupid.,ni li nasa mute.
jan mute li toki ala lon toki Kanse.,There are many people who don't speak French.
telo mute li kama lon ma tomo Osaka.,It was raining heavily in Osaka.
o kepeken ilo toki.,Use the telephone.
He deposited 100 dollars in his saving account.,ona li pana e mani pi ma Mewika lon tomo mani ona.
tenpo ala la sina sama mi.,You were never like us.
meli sama mi li olin e tawa musi.,My sister likes to dance.
I'm a man without a woman.,mi mije pi meli ala.
The frost rendered the orange crop worthless.,lete li pakala ale e kasi kili.
You must not look down on old people.,sina ken ala toki ike tawa jan pi sike suno mute.
"mi awen lon ni, la mi moli.",I'm dead if I stay here.
tenpo suno pini la ona li moku e telo nasa mute.,He drank a lot yesterday.
o sitelen kin tawa mi.,Don't fail to write to me.
Don't cut down those trees.,o kipisi ala e kasi suli ni.
mi lukin e kasi ni lon ale. nimi ona li seme?,I see these flowers everywhere. What are they called?
The two countries differ in religion and culture.,nasin sewi en nasin jan pi ma tu li ante.
How many times have you been there?,tenpo mute seme la sina lon ni?
mi mute li wile toki tan ona.,We need to talk about him.
mi mute li tawa sewi lon nena suli.,We were climbing up the steep mountain.
Health is more important than gold.,sijelo pona li suli mute. kiwen jelo li suli lili.
mi pana e len noka lon esun.,I sell shoes.
ona li tawa tomo sona pi jan suli.,He goes to university.
The little flower is red.,kasi kule lili li loje.
mi pilin e ni: sina wile ala toki e ijo pi ijo ni.,I thought you didn't want to talk about this stuff.
ni li mama mije pi mama meli ona.,This is his maternal grandfather.
ona li ijo mi.,It belongs to me.
"Listen to your heart, and you will know it's true.","o kute e pilin sina, sina kama sona e ni: ni li lon."
I don't even know where Tom lives.,mi sona ala kin e ni: jan Ton li awen lon seme?
All of us play the piano.,mi ale li kalama e ilo nena pi kalama musi.
ona li jan Mewika anu seme?,Is he an American?
"What happened? ""Nothing.""","seme li kama? ""ijo ala."""
mi ken ala sitelen lon toki Sonko.,I can't write in Chinese.
tenpo ni la mi kama pilin.,Now I begin to understand.
Kazan is the capital of Tatarstan.,ijo Kasan li ma tomo lawa pi ma Tatawitan.
ona li pali e ni lon tenpo.,They do that sometimes.
I like that purple shirt.,len loje laso ni li pona tawa mi.
I would rather die than surrender.,moli li pona tawa mi. pana sama li ike tawa mi.
sina kepeken ala kepeken e tenpo mute lon ma tomo?,Do you spend a lot of time in the city?
mi ken ala moku e telo nasa.,I can't drink alcohol.
meli olin pi jan Ton li jo e nimi seme?,What is Tom's girlfriend's name?
jan Ton li pana e lipu kepeken ilo toki.,Tom is sending a fax.
mi ala e ali.,I deny everything.
I captured butterflies with a net.,mi kama jo e pipi kepeken len alasa.
What does Tom have against you?,sina ike tawa jan Ton tan seme?
mi ante e sitelen. mi suli e sitelen.,I changed and enlarged the text.
Is it yours?,ni li ijo sina ala sina?
o kute e kalama musi ni.,Listen to the music.
She has a son.,ona li jo e mije lili.
ona li toki e ni: nasin ona la ona li tawa lon tenpo suno nanpa wan pi tenpo esun.,She said she planned on going Monday.
jan Ton en jan Mewi la waso li lon ma ona.,Tom and Mary have chickens in their backyard.
mi mute li tu e mani tawa mi ali.,We'll divide the profits among all of us.
I'll give you five minutes.,mi pana e tenpo lili tawa sina.
"tenpo pini la, mi wile e ni: mi en ona li wan.",I wanted to marry him.
mama mama mije mi li toki e toki ni tawa mi.,It was my grandfather that told me that story.
Give that to Tom and me.,o pana e ona tawa jan Ton en mi.
tenpo mute la sina lukin ala lukin e ona?,Do you see him often?
I used to love to play jazz.,"tenpo pini la, mi olin kalama e kalama musi Jasa."
None of us are against her idea.,pilin meli li pona tawa mi mute.
What's both a sun and a moon?,"seme li suno, li mun?"
I like children.,jan lili li pona tawa mi.
"I can't speak English, much less German.",mi ken ala toki lon toki Kanse. mi taso ken ala toki lon toki Inli.
"Go to work, Tom.",jan Ton o tawa tomo pali sina.
I listen to music and dance.,mi kute e kalama musi li tawa musi.
mi wile ala pali e ni kepeken nasin sama jan Ton.,I don't want to do that the same way Tom did.
The knife is dirty.,ilo kipisi li jaki.
You spoiled everything.,sina pakala e ali.
mi lukin e soweli wawa.,I see a lion.
ni li toki Kanse anu toki Inli?,Is this French or English?
She sold him her car.,ona li pana e tomo tawa tawa ona.
ona li pilin e ni: pimeja li akesi.,She's afraid of the dark.
mi olin e ilo Tatowepa.,I love Tatoeba.
jan Ton li toki e ni: tenpo ni la jan Mewi li awen lon ma tomo Pasen.,Tom said Mary is now living in Boston.
The slime was black and stinky.,ko li pimeja li pana e kon jaki.
This disease spreads like wildfire.,ike sijelo ni li pana wawa tan jan tawa jan.
ni li jaki.,That's trash.
mi pini ala e ona.,I didn't finish it.
"ken ni li pona: sina tawa wawa. ala, la sina kama lon tenpo pi suli ike.","You'd better hurry. If you don't, you'll be late."
Perhaps that's something I can help you with.,ken la ni la mi ken pana e pona.
jan Ton li wile e pan.,Tom wants a sandwich.
Yanni has a new garage.,jan Jani li jo e tomo sin pi tomo tawa.
Tom liked the film a lot.,sitelen tawa li pona mute tawa jan Ton.
jan mute en supa lili li lon ni.,There are a lot of people and few tables here.
She kicked the door.,ona li noka e lupa.
I shouldn't be talking to you.,mi toki tawa sina. ni li pona ala.
Tom handed an envelope to Mary.,jan Ton li pana e poki lipu tawa jan Mewi.
I'm going.,mi tawa.
Remove your hat.,o weka e len lawa tan lawa sina.
jan sona mute pi ma mute li kama lukin e ma sike weka. ona li suli sama ma sike mi. ona li tawa lon sike ni: seli pi mute ni li kama tan suno ona: kasi li ken lon.,A team of transatlantic scientists has discovered an Earth-size exoplanet orbiting in its star's habitable zone.
You are selling your soul.,sina pana e kon sina lon esun.
I don't like classical music.,kalama musi pi tenpo pini weka li pona ala tawa mi.
This is the largest dictionary there is in this library.,lipu nimi ni li suli mute lon tomo lipu ni. lipu nimi ante ale li suli lili.
ona li wile musi taso.,She just wants to have fun.
Don't go anywhere without me.,o tawa ijo ala lon poka pi mi ala.
Read!,o lukin!
He's very sexy.,ona li unpa lukin kin.
I don't want to go Boston with Mary.,mi wile ala tawa ma tomo Pasen poka jan Mali.
She doesn't understand the slang used by young people.,toki pakala pi jan lili li nasa tawa ona.
toki lon la mi sona ala.,"To be honest, I don't know."
sina wile e seme?,What do you want?
"tenpo ni la, jan Ken li pali anu seme?","Ken is busy now, isn't he?"
You love yourself.,sina olin e sina.
I keep making a fool of myself when I try speaking French.,mi lukin toki Kanse la tenpo ale la mi sama jan pi sona lili.
Amazing!,epiku!
Forget about Tom.,o weka e jan Ton.
"Oh, look! A shooting star! Make a wish.",o lukin! mun li tawa wawa tan sewi. o toki insa e wile!
sina lukin ala lukin e pipi pi laso loje?,Have you ever seen a purple butterfly?
nimi mi li Ton ala.,My name isn't Tom.
tenpo ala la mi lukin e ijo sama lon ma mi.,I've never seen the same thing where I live.
jan Ton li toki ala e ma pi tawa ona.,Tom didn't mention where he was planning to go.
"If you want to leave, leave.",sina wile tawa weka la o tawa weka.
sina kama sin la o jo e poki telo. o pana e ona tawa mi.,Could you bring me a glass of water on your way back?
sina pana e ijo mute lon seme?,Where did you put them?
I believe anything is possible.,mi pilin e ni: ale li ken.
"ala. mi mute li kama, li jo e ala poka mi mute.","No, we didn't bring anything."
jan li pana e jaki tawa ona.,Somebody poisoned them.
"Physician, heal thyself.",jan pi pona sijelo o pona e sina!
ma li tawa sike tan seme?,What makes the earth spin?
I don't like that dress.,len ni li ike tawa mi.
mi kama unpa a!,I managed to have sex!
mi wile ala e ni: sina lon ni.,We don't want you here.
jan Mako li kama jo e tomo tawa lon esun tawa jan lili ona.,Marco bought his son a car.
mi mute o tawa ma pi jan ala.,Let's go somewhere private.
jan Ton li wile ala uta e jan Mawi lon lukin pi jan ale.,Tom should have been careful not to kiss Marie in front of everyone.
"ona li tawa lon kon, la ni li ike tawa ona.",He hates air travel.
There's nothing to be scared of.,monsuta li lon ala.
jan Ton li pali e ni.,Tom is doing that.
lukin la ona li tawa ma Mewika.,He'll definitely go to the U.S.
mi kule e lupa suli kepeken kule laso.,I painted the gate blue.
Where do you come from?,sina tan ma seme?
Tom is ironing his shirts.,jan Ton li supa e len.
Please tell Mary that I'll do that for her.,o toki e ni tawa jan Mewi: mi pali e ni tawa ona.
I can't change what happened.,mi ken ala ante e ni: ona li kama.
I've asked Tom to help.,mi toki e wile ni tawa jan Ton: ona li pana e pona tawa mi.
Tom has a pretty good idea who stole his trumpet.,jan li kama jo e ilo musi pi jan Ton. jan Ton li sona mute e ni: jan ni li pali e ni.
Let's all go to Tom's.,mi mute o tawa tomo pi jan Ton.
I don't want the money.,mi wile ala e mani.
Mary has more money than any of us can imagine.,jan Mewi li jo e mani mute mute a!
Have you ever played dominoes?,sina musi e musi pi kiwen nanpa lon tenpo pini anu seme?
I have no family.,mi jo ala e kulupu mama.
toki mama mi li toki Nijon.,My native language is Japanese.
I can't understand the meaning.,mi ken ala sona e kon.
jan Ton li toki e ni tawa mi: ona li pilin ike tan ni.,Tom told me he felt bad about that.
sina kepeken ilo pana sitelen mi anu seme?,Did you use my camera?
My dad would like to meet you.,mama mi li wile sona e sina.
"pipi li pali e len alasa, la sina lukin e ni anu seme?",Have you ever seen a spider spinning its web?
ni li mi. ni li jan Ton. ni li jan Mele.,"That's me, that's Tom and that's Mary."
jan ni li anpa mute.,This man is very humble.
jan li pana e seli lon tomo lili.,The hut was set on fire.
What can I give you?,mi ken pana e seme tawa sina?
I know that Tom is odd.,mi sona e ni: jan Ton li nasa.
The phone is on the table.,ilo toki li lon supa.
jan Mewi li toki e ni: ona li wile ala toki lon toki Kanse.,Mary said she won't speak French.
Tom wants to keep things the way they are.,jan Ton li wile ala sin e ijo.
mi pana e kili tawa ona.,I gave him an apple.
mi wile ala lukin e ni sin.,I don't want to see that again.
I knew that Tom wasn't very good at playing the flute.,mi sona e ni: jan Ton li kalama pi pona mute ala e ilo palisa pi kalama musi.
What's the horse's name?,nimi pi soweli tawa li seme?
toki sina li musi tawa kute.,You sound funny.
kasi suli li kama lon supa li sinpin lon nasin.,A fallen tree blocked the path.
mi pali e ijo pona.,I did the right thing.
jan Mewi li weka e linja lon lupa unpa.,Mary got a bikini wax.
len li lon lawa ona.,She's wearing a hat.
Mary is German.,jan Mewi li jan Tosi.
Behind our house there are three beautiful apple trees with little red apples.,"monsi pi tomo mi la kasi suli mute pi pona lukin, pi kili loje lili li lon."
ona li tawa anpa ala.,She didn't fall.
mi wile sin e mani. taso mi wile ala e mani mute.,"I need more money, but not much."
ni li lon ma Kapili.,It's in Kabylia.
ona li toki e ni: tenpo ale la mi wile unpa e meli mi taso.,He says he has always been true to his wife.
I think he's Mary's older brother.,mi pilin la ona li mije sama suli pi jan Mewi.
jan sewi a! sina mi anu seme?,"Oh my God, are you me?"
tenpo pimeja pini la ona li kama lon ni.,He arrived here last night.
I'll let you know tomorrow.,tenpo suno kama la mi pana e sona tawa sina.
Tom isn't a good person.,jan Ton li jan pona ala.
Tom said he's not tired.,jan Ton li toki e ni: ona li wile lape ala.
ona li pakala e lipu toki.,She tore up the letter.
What do you want Tom for?,sina wile e jan Ton tan seme?
ona li pali ala e ni anu seme?,"They don't do that, do they?"
jan Ton li wile ala tawa ni lon poka pi jan Mewi.,Tom didn't want to go there with Mary.
What is it you want most?,"sina wile mute e ijo, la ni li seme?"
jan ali li pona.,Everybody is fine.
The girl brought me a red and white rose.,meli lili li pana e kasi kule pi loje en walo tawa mi.
"When I speak Japanese, I sound like a child.",mi toki Nijon la toki mi li sama jan lili.
My phone is broken.,ilo toki mi li pakala.
"What's the number of the taxi company ""Dazhong""?",esun Tason pi tomo tawa la nanpa ona pi ilo toki li seme?
No man can live to be two hundred years old.,tenpo mute mute mute la jan li ken ala sike e suno.
He's an Englishman.,ona li jan Inli.
jan li nasa.,Humans are weird.
Tell me what I need to do.,o toki e ni tawa mi: mi wile pali e seme?
I think Tom is weak.,mi pilin e ni: jan Ton li wawa ala.
African elephants have less hair than Asian elephants.,soweli suli pi ma Apika li jo e linja lili. soweli suli pi ma Asija li jo e linja mute.
mi mute o musi pali e jan utala Ninja.,Let's pretend we are ninjas.
jan Ton li jo e len suli pi kule wawa.,Tom wore a brightly colored dress.
o awen pali.,Keep working.
tomo sona mi li pona tawa mi.,We like our school.
"Dinner is ready, so we can eat whenever we want.",moku li lon. mi mute li ken moku lon tenpo wile.
jan seme li sona e toki sin tawa wile sona ni?,Who knows the answer to this question?
I don't speak to Tom.,mi toki ala tawa jan Ton.
There is no one standard for beauty.,jan mute li pilin ante e pona lukin.
jan Ton li wile ala open e ona.,Tom refused to open it.
Here she is!,ona li lon ni a!
tenpo seme la sina open e esun sina?,When did you open your new store?
jan li pilin e sama lon ni.,There is a feeling of harmony here.
jan Ton li pali e sitelen musi la pali ona li pona lili taso.,Tom's a mediocre painter.
sina alasa kin e pipi akesi anu seme?,Is it true that you caught a scorpion?
seme li lon poki?,What's in the basket?
"You can't do that, can you?",sina ken ala pali e ni anu seme?
Tom doesn't know I'm Mary's brother.,jan Ton li sona ala e ni: mi jan sama pi jan Mewi.
"o tawa anpa lon supa. ""pona.""","Sit down. ""Thank you."""
